"Mygento - Extensions Information","Mygento - Информация о разработчике"
"Mygento Extensions","Модули Mygento"
"Extensions and Support","Модули и поддержка"
"Extensions information","Информация о разработчике"
"Installed Extensions","Установленные модули"
"Support","Поддержка"
"License","Лицензирование"
"You can check all providable services on <a href=""%1"" target=""_blank"">our website</a>.","Со списком предоставляемых услуг вы можете ознакомиться <a href=""%1"" target=""_blank"">на нашем сайте</a>."
"You can hire us for any Magento extension customization and development.<br/>Write us to %1","Вы можете нанять нашу команду для любых работ с модулями Magento.<br/>Пишите нам на %1"
"Tender offer can be checked <a href=""%1/oferta"" target=""_blank"">here</a>","Ознакомиться с публичной офертой можно <a href=""%1/oferta"" target=""_blank"">здесь</a>"
"No usage","Не использовать"
"VAT Free","НДС не облагается"
"VAT18","НДС 18%"
"VAT10","НДС 10%"
"VAT0","НДС 0%"
"VAT110","расчетный НДС 10/110"
"VAT118","расчетный НДС 18/118"
"Tax","Отправка 54-ФЗ"
"Shipping Tax","Налог на доставку"
"Same tax for all products","Единая ставка НДС на все товары"
"Product Tax Attribute","Атрибут налога в товаре"
"Tax value for all products","Ставка НДС для всех товаров"
"Default Shipping name in receipt","Использовать системное название доставки в чеке"
"Shipping name in receipt","Наименование доставки в чеке"
"All built-in methods of Mygento_Base module will write log","Все встроенные методы в модуле Mygento_Base будут писать лог"
"-- Please Select --","-- Выберите --"
